"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
06013355108,06,013,355108,78.2,1.9604,1
06013355109,06,013,355109,81.8,1.8507,3
06013355110,06,013,355110,75.1,2.9958,1
06013355111,06,013,355111,80.6,2.7485,2
06013355112,06,013,355112,85,3.4854,3
06013355113,06,013,355113,81,1.5771,2
06013355114,06,013,355114,85,1.9003,3
06013355115,06,013,355115,81.2,3.1269,2
06013355116,06,013,355116,81.1,3.4619,2
06013355200,06,013,355200,81.4,2.8618,3
06013355301,06,013,355301,81.4,1.2512,3
06013355302,06,013,355302,83.7,1.6055,3
06013355304,06,013,355304,84.7,2.0944,3
06013355306,06,013,355306,80.7,0.9907,3
06013356001,06,013,356001,85.6,3.3212,3
06013356002,06,013,356002,79.5,1.3445,3
06013357000,06,013,357000,76,1.4994,3
06013358000,06,013,358000,78.4,1.6205,3
06013359102,06,013,359102,83.6,2.4515,3
06013359103,06,013,359103,81.9,1.991,3
06013359104,06,013,359104,80.9,1.6141,2
06013359105,06,013,359105,84.7,3.3738,3
06013359202,06,013,359202,81,1.6151,3
06013359203,06,013,359203,82.2,2.3915,3
06013359204,06,013,359204,82.5,2.0595,3
06013360101,06,013,360101,79.9,1.3664,3
06013360102,06,013,360102,83.8,2.2698,3
06013360200,06,013,360200,77.9,1.5257,3
06013361000,06,013,361000,82.2,2.0393,3
06013362000,06,013,362000,84.3,2.3932,3
06013363000,06,013,363000,77,2.351,3
06013364002,06,013,364002,77.8,1.2142,3
06013365002,06,013,365002,77.1,2.1944,3
06013365003,06,013,365003,79.4,1.7878,2
06013366001,06,013,366001,77.2,1.7868,3
06013366002,06,013,366002,83.4,2.9382,3
06013367100,06,013,367100,79.4,1.5618,1
06013367200,06,013,367200,84,3.4014,3
06013368001,06,013,368001,78.6,2.0441,3
06013368002,06,013,368002,75.9,1.7473,2
06013369001,06,013,369001,77,1.2026,3
06013369002,06,013,369002,77.6,1.4343,2
06013370000,06,013,370000,79,1.9384,3
06013371000,06,013,371000,76.7,1.5961,3
06013372000,06,013,372000,80.6,1.8923,3
06013373000,06,013,373000,77.6,2.3996,3
06013374000,06,013,374000,78.2,1.5726,3
06013375000,06,013,375000,75.9,1.769,2
06013376000,06,013,376000,75,1.7777,3
06013377000,06,013,377000,75.3,1.2492,3
06013379000,06,013,379000,73,1.669,3
06013380000,06,013,380000,80.5,2.9167,3
06013381000,06,013,381000,76.4,1.5195,3
06013382000,06,013,382000,75.1,1.1867,3
06013383000,06,013,383000,80.1,1.4534,3
